gene	up1	up2	up3
DVL3	enr1	enr2	enr3
DYNC1H1	NA	NA	enr3
EBP	enr1	NA	NA
ECD	enr1	enr2	enr3
EDC4	enr1	enr2	enr3
EEF1A1	NA	NA	enr3
EEF1B2	enr1	enr2	enr3
EEF1D	enr1	enr2	enr3
EEF2	NA	enr2	enr3
EEF2K	enr1	enr2	NA
EFHD1	enr1	enr2	enr3
EFHD2	enr1	enr2	enr3
EFTUD2	NA	NA	enr3
EIF2A	enr1	enr2	enr3
EIF2S1	enr1	enr2	NA
EIF3A	enr1	enr2	enr3
EIF3B	enr1	enr2	enr3
EIF3C	NA	NA	enr3
EIF3D	enr1	enr2	NA
EIF3G	enr1	enr2	NA
EIF3I	enr1	enr2	enr3
EIF4A1	NA	NA	enr3
EIF4A3	NA	NA	enr3
EIF4B	enr1	enr2	enr3
EIF4E	enr1	enr2	enr3
EIF4E2	enr1	enr2	enr3
EIF4ENIF1	enr1	enr2	NA
EIF4G1	enr1	enr2	enr3
EIF4G2	enr1	enr2	enr3
EIF4G3	enr1	enr2	NA
EIF5	enr1	enr2	enr3
EIF5A	enr1	enr2	enr3
EIF5B	enr1	enr2	NA
ELP4	enr1	enr2	NA
ELP5	enr1	enr2	NA
ELP6	enr1	enr2	NA
EMD	NA	enr2	enr3
ENAH	enr1	enr2	NA
EPB41	enr1	enr2	enr3
EPB41L2	enr1	enr2	NA
EPB41L3	enr1	enr2	enr3
EPRS	NA	NA	enr3
EPS15	enr1	enr2	NA
EPS15L1	enr1	enr2	enr3
ERBB2IP	enr1	enr2	enr3
ERC1	enr1	enr2	NA
ERCC6L	enr1	enr2	NA
ERLIN2	NA	NA	enr3
ESYT1	enr1	enr2	enr3
ESYT2	enr1	enr2	NA
EXOC4	enr1	enr2	enr3
EZR	enr1	enr2	NA
FAM135A	NA	enr2	NA
FAM195B	enr1	enr2	NA
FAM21B	enr1	enr2	NA
FAM91A1	enr1	enr2	NA
FANCI	enr1	enr2	NA
FAR1	enr1	enr2	NA
FASN	enr1	enr2	enr3
FASTKD5	enr1	NA	NA
FAU	enr1	enr2	NA
FERMT2	enr1	enr2	NA
FHL3	enr1	NA	NA
FKRP	enr1	enr2	enr3
FLNA	enr1	enr2	enr3
FLNB	enr1	enr2	enr3
FMR1	enr1	enr2	enr3
FUBP3	enr1	enr2	enr3
FXR1	enr1	enr2	enr3
FXR2	enr1	enr2	NA
G3BP1	enr1	enr2	enr3
G3BP2	enr1	enr2	NA
GAPVD1	enr1	enr2	enr3
GCN1L1	enr1	enr2	enr3
GEMIN5	enr1	enr2	enr3
GFPT1	NA	enr2	NA
GIGYF2	enr1	enr2	enr3
GLMN	enr1	enr2	NA
GLUD1	enr1	NA	NA
GNAS	enr1	enr2	NA
GPATCH1	enr1	enr2	enr3
GPN1	NA	enr2	NA
GRWD1	NA	NA	enr3
GSK3A	NA	enr2	NA
GTPBP1	enr1	enr2	NA
GTPBP4	NA	NA	enr3
HACD3	NA	NA	enr3
HAUS6	enr1	enr2	NA
HBS1L	enr1	enr2	enr3
HCFC1	enr1	enr2	NA
HDAC6	enr1	NA	enr3
HDDC2	NA	enr2	NA
HDLBP	enr1	enr2	enr3
HEATR1	enr1	enr2	NA
HELZ	enr1	NA	NA
HERC5	enr1	enr2	NA
HINT1	NA	enr2	NA
HIST1H1C	NA	NA	enr3
HN1	enr1	enr2	enr3
HN1L	enr1	enr2	enr3
HNRNPK	NA	NA	enr3
HRNR	NA	NA	enr3
HSD17B10	enr1	NA	NA
HSD17B12	enr1	NA	NA
HSPA1A	enr1	enr2	enr3
HSPA4	enr1	enr2	enr3
HSPA4L	enr1	enr2	NA
HSPA5	enr1	enr2	enr3
HSPA6	NA	NA	enr3
HSPA8	enr1	enr2	enr3
HSPA9	enr1	enr2	NA
HSPD1	NA	NA	enr3
HSPH1	enr1	enr2	enr3
HYOU1	enr1	NA	NA
IARS2	enr1	NA	NA
IBTK	enr1	enr2	enr3
IFIT5	enr1	enr2	enr3
IGF2BP1	enr1	NA	enr3
IGF2BP2	enr1	enr2	enr3
IGF2BP3	enr1	enr2	enr3
INPP5F	enr1	enr2	enr3
IPO11	enr1	enr2	NA
IPO7	enr1	enr2	NA
IRAK1	enr1	enr2	enr3
IRS4	enr1	NA	NA
KANK2	enr1	enr2	NA
KDELR2	enr1	NA	NA
KEAP1	enr1	enr2	enr3
KIAA0196	enr1	NA	NA
KIAA1279	enr1	enr2	enr3
KIAA1524	enr1	enr2	enr3
KIAA1598	enr1	enr2	NA
KIF11	enr1	enr2	NA
KIF14	enr1	NA	NA
KIF1A	enr1	NA	NA
KIF5B	enr1	enr2	enr3
KLC1	enr1	enr2	NA
KLC2	enr1	NA	NA
KNTC1	enr1	NA	NA
KPNB1	enr1	enr2	enr3
KRT1	NA	NA	enr3
KRT10	NA	NA	enr3
KRT14	NA	NA	enr3
KRT16	NA	NA	enr3
KRT19	enr1	NA	NA
KRT2	NA	NA	enr3
KRT5	NA	NA	enr3
KRT6C	NA	NA	enr3
KRT9	NA	NA	enr3
KTN1	enr1	enr2	NA
LARP1	enr1	enr2	enr3
LARP1B	enr1	enr2	NA
LARP4	enr1	enr2	enr3
LARP4B	enr1	enr2	enr3
LARS	NA	NA	enr3
LBR	enr1	NA	enr3
LCP1	enr1	enr2	enr3
LDHB	NA	NA	enr3
LIMA1	enr1	enr2	NA
LIMCH1	enr1	enr2	NA
LIMD1	NA	enr2	NA
LMNB1	enr1	NA	enr3
LRBA	enr1	enr2	NA
LRRC40	enr1	NA	enr3
LRRC49	enr1	NA	NA
LRRFIP1	enr1	enr2	NA
LSG1	enr1	enr2	NA
LSM12	enr1	enr2	enr3
LSM14A	enr1	enr2	enr3
LTN1	enr1	NA	NA
LTV1	enr1	enr2	NA
LUZP1	enr1	enr2	enr3
LYPLA2	enr1	enr2	enr3
MAGED2	NA	NA	enr3
MAP1B	enr1	enr2	enr3
MAP2K1	enr1	enr2	NA
MAP2K2	NA	NA	enr3
MAP2K3	enr1	NA	NA
MAP4	enr1	enr2	enr3
MAP4K5	NA	enr2	NA
MAP7D3	enr1	enr2	NA
MAPRE1	enr1	enr2	enr3
MAPRE2	enr1	enr2	enr3
MARK2	NA	enr2	NA
MARS	enr1	NA	enr3
MCM3	NA	NA	enr3
MCM4	NA	NA	enr3
MCM6	NA	NA	enr3
MCU	enr1	NA	NA
METTL13	NA	enr2	NA
MIF	NA	NA	enr3
MKI67	NA	NA	enr3
MKL2	enr1	enr2	enr3
MLF2	enr1	enr2	enr3
MLLT4	enr1	enr2	enr3
MON2	enr1	enr2	NA
MPDU1	enr1	NA	NA
MRE11A	enr1	enr2	enr3
MRI1	enr1	enr2	NA
MSH2	NA	NA	enr3
MSH3	enr1	NA	NA
MTDH	enr1	enr2	enr3
MTMR1	enr1	enr2	NA
MTMR6	enr1	enr2	NA
MTPAP	enr1	NA	NA
MTR	enr1	enr2	enr3
MYBBP1A	enr1	NA	enr3
MYH9	enr1	enr2	enr3
MYL6	enr1	enr2	enr3
MYO1B	enr1	enr2	NA
MYO1C	enr1	NA	NA
MYO1D	NA	NA	enr3
MYO6	enr1	enr2	enr3
N4BP1	enr1	enr2	NA
NAA15	enr1	enr2	NA
NACA	enr1	enr2	enr3
NAE1	enr1	enr2	NA
NAP1L1	enr1	enr2	enr3
NAP1L4	enr1	enr2	enr3
NASP	enr1	enr2	enr3
NAT10	NA	NA	enr3
NCAPG	NA	enr2	enr3
NCAPH	enr1	enr2	enr3
NCK1	enr1	enr2	NA
NCL	NA	NA	enr3
NCLN	enr1	NA	NA
NEK9	enr1	enr2	NA
NGEF	enr1	NA	NA
NHLRC2	enr1	enr2	NA
NME2	enr1	enr2	enr3
NME7	enr1	enr2	enr3
NMT1	enr1	enr2	enr3
NOC3L	enr1	enr2	NA
NOP56	NA	NA	enr3
NPLOC4	NA	enr2	NA
NRBF2	NA	enr2	NA
NUBP2	enr1	NA	NA
NUDC	enr1	enr2	enr3
NUDT5	enr1	enr2	enr3
NUFIP2	enr1	enr2	enr3
NUMBL	enr1	enr2	NA
NUP107	enr1	enr2	NA
NUP133	enr1	enr2	NA
NUP188	enr1	enr2	NA
NUP205	NA	NA	enr3
NUP214	enr1	enr2	NA
NUP62	enr1	NA	NA
NUP85	enr1	NA	NA
NUP88	enr1	enr2	NA
NUP93	NA	NA	enr3
NXF1	NA	enr2	enr3
OBSL1	NA	NA	enr3
OCRL	enr1	enr2	enr3
ODF2	NA	NA	enr3
OSBPL8	enr1	enr2	NA
OXSR1	enr1	enr2	NA
PA2G4	enr1	enr2	enr3
PABPC1	NA	NA	enr3
PABPC4	enr1	enr2	enr3
PAICS	enr1	enr2	enr3
PAK2	enr1	enr2	NA
PAK4	enr1	enr2	NA
PALD1	enr1	NA	NA
PANK4	enr1	enr2	NA
PAPOLA	enr1	enr2	NA
PARG	enr1	enr2	NA
PASK	enr1	enr2	enr3
PATL1	enr1	NA	NA
PCBP2	enr1	NA	NA
PCM1	enr1	enr2	enr3
PCMT1	NA	NA	enr3
PCNA	enr1	enr2	NA
PCNP	NA	enr2	NA
PDAP1	enr1	enr2	enr3
PDCD11	NA	enr2	NA
PDCD5	enr1	enr2	enr3
PDCD6	enr1	NA	NA
PDLIM1	enr1	enr2	enr3
PDLIM3	NA	NA	enr3
PDLIM5	enr1	enr2	enr3
PEX14	enr1	enr2	NA
PFAS	NA	enr2	NA
PFDN2	enr1	enr2	NA
PFKP	NA	NA	enr3
PGAM1	enr1	enr2	enr3
PGAM5	enr1	enr2	enr3
PHB	NA	NA	enr3
PHGDH	NA	NA	enr3
PICALM	enr1	enr2	enr3
PIH1D1	enr1	enr2	enr3
PIP4K2B	NA	enr2	NA
PIP4K2C	enr1	enr2	NA
PKN2	enr1	enr2	NA
PLEKHA1	enr1	enr2	NA
PLIN3	NA	enr2	NA
PLK1	enr1	enr2	enr3
PLS3	NA	enr2	enr3
