Majority.protein.IDs	Gene.names	iBAQ.L.Cyto_4h_Forward_1	iBAQ.M.Cyto_4h_Forward_1	iBAQ.H.Cyto_4h_Forward_1	iBAQ.L.Cyto_4h_Forward_2	iBAQ.M.Cyto_4h_Forward_2	iBAQ.H.Cyto_4h_Forward_2	iBAQ.L.Cyto_4h_Reverse_1	iBAQ.M.Cyto_4h_Reverse_1	iBAQ.H.Cyto_4h_Reverse_1	iBAQ.L.Cyto_4h_Reverse_2	iBAQ.M.Cyto_4h_Reverse_2	iBAQ.H.Cyto_4h_Reverse_2	iBAQ.L.Memb_4h_Forward_1	iBAQ.M.Memb_4h_Forward_1	iBAQ.H.Memb_4h_Forward_1	iBAQ.L.Memb_4h_Forward_2	iBAQ.M.Memb_4h_Forward_2	iBAQ.H.Memb_4h_Forward_2	iBAQ.L.Memb_4h_Reverse_1	iBAQ.M.Memb_4h_Reverse_1	iBAQ.H.Memb_4h_Reverse_1	iBAQ.L.Memb_4h_Reverse_2	iBAQ.M.Memb_4h_Reverse_2	iBAQ.H.Memb_4h_Reverse_2	Ratio.H.M.normalized.Cyto_4h_Forward_1	Ratio.H.M.normalized.Cyto_4h_Forward_2	Ratio.H.M.normalized.Cyto_4h_Reverse_1	Ratio.H.M.normalized.Cyto_4h_Reverse_2	Ratio.H.M.normalized.Memb_4h_Forward_1	Ratio.H.M.normalized.Memb_4h_Forward_2	Ratio.H.M.normalized.Memb_4h_Reverse_1	Ratio.H.M.normalized.Memb_4h_Reverse_2
Q9NR45	NANS	27.9830494346655	24.8122051224357	25.9873065208132	27.6484223188988	24.8811035023412	25.0021296364028	28.0061917421989	25.1583468085702	25.0653786604302	28.1549428484087	25.1106018268969	25.9452987971297	25.3413328605698	21.7241740827319	21.7514819492704	18.9422624881964	NA	NA	26.9284092171195	24.3807997699937	23.2901054928166	17.3328058178944	NA	NA	0.0184917490398792	0.361880627038438	-0.0456547739399033	-0.174100426510042	-0.0744258594998841	NA	-0.746301116710039	NA
Q9NR50	EIF2B3	26.5385141130913	25.3180346621935	25.0826561626868	26.104296087337	25.29396832049	24.6659530385365	26.3542557052171	25.2923893227077	24.8726748802706	26.6820410880867	24.8956899112601	25.6918959838208	25.3937517982465	24.997097799319	23.2242619875802	24.7156013484838	24.7005468196687	24.5916072604778	25.6790096796316	24.1756945126079	24.217340662574	23.7496010439823	22.9174879032753	23.9074738428479	-0.0508461008412477	-0.0452974390259395	0.0842003616746553	-0.105985520109907	0.150819598212133	NA	0.337996463515016	NA
Q9NR77	PXMP2	NA	NA	NA	22.3896092842881	20.1541258606729	18.9059216640185	NA	NA	NA	22.9836540109054	18.9638951466215	18.7603301176841	24.7307076954101	22.0364419460502	23.0258722111257	24.2135634871273	25.1312016566185	21.6391817038165	24.24110858679	21.653116222893	21.121045258422	23.5230086341165	25.0680881018747	20.797012344346	NA	NA	NA	NA	NA	0.0951817893426852	NA	-0.523234681743387
Q9NRA8	EIF4ENIF1	17.9112866470351	11.7150610967883	17.1958527693608	19.2196790316121	16.4718656985207	17.0517612337357	18.5171849435971	16.1692791193595	18.0913527364401	21.2773055644882	18.8033176117781	23.4980184378436	21.9915813555759	19.356984904126	19.0941653353127	22.3590674745466	20.7291626597663	22.4086759586375	22.2460910911158	21.0669720999218	18.9403996331684	21.5874698913888	20.6995622869361	21.0867996856235	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRB3	CHST12	NA	NA	NA	NA	NA	NA	24.3601129931993	21.1796783064222	23.1060708660397	18.7547309512392	16.759680167211	16.222285493303	19.8074115278082	18.38839574128	18.2176926949038	19.4263630454381	18.4597197702426	17.1137014757461	NA	NA	NA	18.6101453293567	17.4603599011642	16.3727460546237	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRD1	FBXO6	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.190630098583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRD5	PICK1	16.7236076208698	15.090567326304	14.3860645578674	NA	NA	NA	18.94252023249	26.5555817061104	22.3698081839417	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.0729228796942	16.4531902390816	16.8564741623474	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0780632557768191	NA
Q9NRF2	SH2B1	21.5464197317463	20.0077171665043	23.2568110527182	20.1538785485885	19.6888137518433	19.4204948368483	21.4471801088162	19.7634296003681	20.2683089762915	19.5638740151831	16.8367654088867	17.597834334215	17.9457524428059	15.5334818302935	16.8357790350062	NA	NA	NA	16.6710710749346	13.6832139549344	20.1977254329708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRF8	CTPS2	23.541205350457	20.8770264521574	20.5385792352255	22.9777452826293	20.2988277938128	20.3776130119202	23.4878753535491	20.6406827177954	20.7225907638277	23.2305787188231	20.7712057308338	20.7741049738254	20.9024222236647	21.0216089847969	17.8615716011254	NA	NA	NA	22.3547164222562	18.6097486725075	18.283196898427	NA	NA	NA	NA	NA	0.946206829037528	NA	0.247198388575865	NA	NA	NA
Q9NRF9	POLE3	25.7371447889592	23.3081367947499	22.8542041083901	25.7322096666533	23.7669874097997	22.9991556621232	25.4328803185678	23.8171429336956	22.3298642081676	26.1031557196895	22.8819436625363	23.9476191038938	25.9855487375118	22.4576874736999	21.6505329050837	25.3955506089314	25.9544911583798	22.9981916734669	25.6604414325876	22.5827236140576	21.9778500725361	25.3848885957574	21.5980979472482	22.1649965130726	0.263995882071239	-0.0697698234004042	-0.741276067362521	0.0154975693953256	NA	NA	NA	NA
Q9NRG0	CHRAC1	22.5471261157141	18.0704878623957	17.9306449489079	NA	NA	NA	23.2170743625739	19.90565729697	19.5824433939118	22.6478790972991	18.393641834539	18.6725910832596	25.4656613069204	23.4424039308541	23.3527245299864	25.7366030091787	24.0413469984028	23.4065237076764	25.1066939189819	21.6095953895123	21.4110578403027	24.8657075996781	21.9226685992766	20.133954944659	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRG4	SMYD2	23.5079697721643	22.9076021989463	22.8450037516069	23.1722950383667	22.6406165295093	27.0684571772272	23.4698583991827	22.2262040207655	22.8740267732706	22.8567135075574	21.166805458414	20.3161710269749	20.6740922461365	20.2539582527744	19.9669109501164	NA	NA	NA	21.5205170149736	20.0507255111978	21.1133072290128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRG7	SDR39U1	NA	NA	NA	22.5419615418767	19.3543397886446	19.077102562965	NA	NA	NA	22.9823140329056	20.3539092297991	20.9863476008438	24.5654066064912	23.1447914083826	24.4048359652538	25.3031622792216	22.9229588945723	21.5316479811163	24.3455687587145	22.2425484531223	22.6835677921628	24.3368121665472	22.4007512556837	21.1506596275704	NA	NA	NA	NA	-0.182507716494028	-0.0250449166986872	NA	-0.0883467626914678
Q9NRG9	AAAS	18.4332675672726	17.1166485521899	17.523286278918	23.0324957722845	21.8721488017981	20.9362497254421	19.4986466716315	18.2346771207052	20.1101876118575	25.0996890739197	22.7289136401677	24.1439044434862	26.0472261123541	23.8724870171229	23.70598667343	26.0875201406851	24.3731184453466	24.0482660125252	25.672307282854	23.5382476737458	23.7956061025435	25.4630124153042	23.4465744857579	23.5386029152728	0.167100968963075	0.0159256899902542	1.54364435211954	-0.0676666477217263	0.0220481651801732	0.0533894195446349	0.246104009883917	0.18840092460321
Q9NRH1	YAE1D1	20.0682849538125	17.3407368040513	17.5508970582901	NA	NA	NA	21.0001705967028	18.755480936812	19.3934533058241	22.0156328341126	18.6072580615878	18.6395526878431	19.7206717868256	17.8372583430475	18.5803469074862	NA	NA	NA	21.5239658045221	18.6224594079003	18.2425135642629	NA	NA	NA	0.552770524439065	NA	0.321119959365393	NA	1.1740867785504	NA	-0.936966527672911	NA
Q9NRK6	ABCB10	NA	NA	NA	23.5281459743766	20.7616616014572	20.0944230975147	NA	NA	NA	24.5280267088832	23.0425664856078	22.9138046728647	25.63070372345	22.501254081476	23.7118786683676	25.9696315616555	23.4382212847134	22.9854097595919	24.7504702452098	22.1342370363067	21.6945976407984	25.6156579220822	24.4111871777936	23.5624399523367	NA	0.0753272507070651	NA	0.494773999429494	0.570462931026041	0.340619235129396	NA	-0.390188314367032
Q9NRL2	BAZ1A	NA	NA	NA	22.5695497002305	19.7267869227664	21.2819526594185	NA	NA	NA	23.7939207688562	21.331778576406	22.1120347305481	25.2121908873114	22.5955507030802	22.4975312466052	25.2467362500857	23.3043814042366	23.194257288059	25.2035917583852	23.0384361119922	22.3190965473533	24.7700161618726	23.1582312249853	23.8156780206834	NA	-0.00813081518138271	NA	0.180911663368569	-0.0850987594009625	0.183581791117823	-0.198973821269225	-0.0506518357114367
Q9NRL3	STRN4	24.011629249521	22.6640548623541	23.0393066475691	23.1602333641411	21.5772241199422	20.9128367214246	24.0852117957294	22.9454774148148	22.6975063653487	25.009580572709	21.7681390847413	23.5195335582069	24.4609522692846	22.0533797204662	24.7517475317394	23.7700161618726	20.473777083647	20.3226763692988	23.7741452000949	21.6414326395568	21.6563061422003	21.1650885480981	19.446271578865	18.8771463096806	0.229710961847024	NA	-0.197302186595383	0.00805655487105846	NA	NA	-0.174539982205583	NA
Q9NRM2	ZNF277	19.5157229345234	19.2666859027652	16.8164087099051	19.2261863776879	17.3165467086684	17.079318104254	17.6154715892991	16.7552527216033	17.4242319121	19.231985197161	18.2162248330095	17.268651645635	19.1945308386025	17.651934600643	18.5954687527242	18.2282080458018	16.763316124234	17.3885218711996	19.194314407292	16.3314943166003	16.1850108990569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRN7	AASDHPPT	27.6075961479759	24.5160500915308	26.6903247830561	27.2220482675755	24.5034273730772	27.0629111084474	27.6641091306323	24.6900849578717	26.570091368229	28.7668294879517	25.9682037704405	28.1164934885298	25.6260866503597	22.594571547206	23.7814677771213	23.7412916884621	22.0331850314427	22.6869689385534	26.320773973754	23.080193607988	24.3166544228719	20.7850053882122	17.7122986058006	16.9204459055	-0.0370882667704696	-0.0788379139562898	0.00374613923289464	0.188021051416948	-0.0377841587252563	0.487897901210089	-0.0628665656284923	NA
Q9NRP2	CMC2	NA	NA	NA	23.2664228386558	21.0921661152047	20.0766590461266	NA	NA	NA	24.6565461931081	24.6535426820871	23.1456311882057	26.3976246319189	23.8397089591355	22.4021054344168	26.5393131360162	24.0830215304092	24.5011811769739	25.8937473856656	22.5995060973031	24.1744758914472	25.0599032178871	22.7895097654189	21.6998587760901	NA	NA	NA	NA	NA	0.217354813682437	NA	NA
Q9NRP4	SDHAF3	NA	NA	NA	22.7025244401153	19.4601998950596	20.8885916523775	NA	NA	NA	22.2517066122991	19.9483501195576	19.1012627210915	24.67734371881	23.5681351909114	21.7162819267612	24.7503168948058	23.8922656086285	22.4371292669745	23.3853495101762	23.4497259900058	20.971619328476	23.850050216954	23.3850861485397	21.7414768617076	NA	NA	NA	NA	NA	NA	NA	NA
