gene_id	tsig
ENSG00000197345	MitoCarta
ENSG00000159423	MitoCarta
ENSG00000158882	MitoCarta
ENSG00000137806	MitoCarta
ENSG00000140990	MitoCarta
ENSG00000196177	MitoCarta
ENSG00000135972	MitoCarta
ENSG00000163050	MitoCarta
ENSG00000072778	MitoCarta
ENSG00000167113	MitoCarta
ENSG00000137547	MitoCarta
ENSG00000131495	MitoCarta
ENSG00000143314	MitoCarta
ENSG00000144381	MitoCarta
ENSG00000168653	MitoCarta
ENSG00000147853	MitoCarta
ENSG00000172115	MitoCarta
ENSG00000027001	MitoCarta
ENSG00000186687	MitoCarta
ENSG00000095321	MitoCarta
ENSG00000114054	MitoCarta
ENSG00000125445	MitoCarta
ENSG00000114686	MitoCarta
ENSG00000100033	MitoCarta
ENSG00000175198	MitoCarta
ENSG00000078070	MitoCarta
ENSG00000128626	MitoCarta
ENSG00000162129	MitoCarta
ENSG00000152256	MitoCarta
ENSG00000149792	MitoCarta
ENSG00000112695	MitoCarta
ENSG00000171202	MitoCarta
ENSG00000121310	MitoCarta
ENSG00000004961	MitoCarta
ENSG00000106049	MitoCarta
ENSG00000115364	MitoCarta
ENSG00000171421	MitoCarta
ENSG00000174032	MitoCarta
ENSG00000161267	MitoCarta
ENSG00000145982	MitoCarta
ENSG00000131269	MitoCarta
ENSG00000173171	MitoCarta
ENSG00000167774	MitoCarta
ENSG00000134375	MitoCarta
ENSG00000143149	MitoCarta
ENSG00000163319	MitoCarta
ENSG00000247626	MitoCarta
ENSG00000119711	MitoCarta
ENSG00000161513	MitoCarta
ENSG00000111786	MitoCarta
ENSG00000126602	MitoCarta
ENSG00000151498	MitoCarta
ENSG00000111275	MitoCarta
ENSG00000108179	MitoCarta
ENSG00000177370	MitoCarta
ENSG00000128928	MitoCarta
ENSG00000087299	MitoCarta
ENSG00000105755	MitoCarta
ENSG00000242485	MitoCarta
ENSG00000005022	MitoCarta
ENSG00000115840	MitoCarta
ENSG00000187145	MitoCarta
ENSG00000100216	MitoCarta
ENSG00000167315	MitoCarta
ENSG00000185414	MitoCarta
ENSG00000103423	MitoCarta
ENSG00000090266	MitoCarta
ENSG00000074071	MitoCarta
ENSG00000105379	MitoCarta
ENSG00000135537	MitoCarta
ENSG00000130770	MitoCarta
ENSG00000116459	MitoCarta
ENSG00000127184	MitoCarta
ENSG00000106554	MitoCarta
ENSG00000115520	MitoCarta
ENSG00000176715	MitoCarta
ENSG00000004142	MitoCarta
ENSG00000183048	MitoCarta
ENSG00000004864	MitoCarta
ENSG00000067992	MitoCarta
ENSG00000151376	MitoCarta
ENSG00000082515	MitoCarta
ENSG00000182054	MitoCarta
ENSG00000105607	MitoCarta
ENSG00000136522	MitoCarta
ENSG00000138777	MitoCarta
ENSG00000143436	MitoCarta
ENSG00000250479	MitoCarta
ENSG00000116874	MitoCarta
ENSG00000125454	MitoCarta
ENSG00000145439	MitoCarta
ENSG00000183172	MitoCarta
ENSG00000063854	MitoCarta
ENSG00000161281	MitoCarta
ENSG00000148824	MitoCarta
ENSG00000178449	MitoCarta
ENSG00000184752	MitoCarta
ENSG00000182180	MitoCarta
ENSG00000120832	MitoCarta
ENSG00000205707	MitoCarta
ENSG00000115159	MitoCarta
ENSG00000130414	MitoCarta
ENSG00000151366	MitoCarta
ENSG00000119705	MitoCarta
ENSG00000198899	MitoCarta
ENSG00000198712	MitoCarta
ENSG00000075336	MitoCarta
ENSG00000119421	MitoCarta
ENSG00000115419	MitoCarta
ENSG00000147123	MitoCarta
ENSG00000181192	MitoCarta
ENSG00000115042	MitoCarta
ENSG00000112474	MitoCarta
ENSG00000137133	MitoCarta
ENSG00000144029	MitoCarta
ENSG00000204564	MitoCarta
ENSG00000176422	MitoCarta
ENSG00000175536	MitoCarta
ENSG00000104325	MitoCarta
ENSG00000125901	MitoCarta
ENSG00000102743	MitoCarta
ENSG00000160194	MitoCarta
ENSG00000137274	MitoCarta
ENSG00000165283	MitoCarta
ENSG00000148450	MitoCarta
ENSG00000103642	MitoCarta
ENSG00000130204	MitoCarta
ENSG00000148339	MitoCarta
ENSG00000173137	MitoCarta
ENSG00000111271	MitoCarta
ENSG00000102763	MitoCarta
ENSG00000137500	MitoCarta
ENSG00000007923	MitoCarta
ENSG00000125652	MitoCarta
ENSG00000178445	MitoCarta
ENSG00000159445	MitoCarta
ENSG00000106028	MitoCarta
ENSG00000108826	MitoCarta
ENSG00000100209	MitoCarta
ENSG00000048544	MitoCarta
ENSG00000162433	MitoCarta
ENSG00000197785	MitoCarta
ENSG00000116221	MitoCarta
ENSG00000148334	MitoCarta
ENSG00000184470	MitoCarta
ENSG00000183549	MitoCarta
ENSG00000122873	MitoCarta
ENSG00000182154	MitoCarta
ENSG00000117791	MitoCarta
ENSG00000243927	MitoCarta
ENSG00000214026	MitoCarta
ENSG00000137767	MitoCarta
ENSG00000133028	MitoCarta
ENSG00000100116	MitoCarta
ENSG00000120254	MitoCarta
ENSG00000198721	MitoCarta
ENSG00000156467	MitoCarta
ENSG00000167863	MitoCarta
ENSG00000167283	MitoCarta
ENSG00000160124	MitoCarta
ENSG00000131844	MitoCarta
ENSG00000124370	MitoCarta
ENSG00000124615	MitoCarta
ENSG00000146085	MitoCarta
ENSG00000122696	MitoCarta
ENSG00000197912	MitoCarta
ENSG00000154518	MitoCarta
ENSG00000138138	MitoCarta
ENSG00000154814	MitoCarta
ENSG00000101181	MitoCarta
ENSG00000117593	MitoCarta
ENSG00000111639	MitoCarta
ENSG00000173599	MitoCarta
ENSG00000125246	MitoCarta
ENSG00000135241	MitoCarta
ENSG00000103150	MitoCarta
ENSG00000145337	MitoCarta
ENSG00000126768	MitoCarta
ENSG00000106591	MitoCarta
ENSG00000144741	MitoCarta
ENSG00000250799	MitoCarta
ENSG00000114021	MitoCarta
ENSG00000267673	MitoCarta
ENSG00000082212	MitoCarta
ENSG00000178952	MitoCarta
ENSG00000156885	MitoCarta
ENSG00000014824	MitoCarta
ENSG00000144559	MitoCarta
ENSG00000138297	MitoCarta
ENSG00000155906	MitoCarta
ENSG00000116688	MitoCarta
ENSG00000187796	MitoCarta
ENSG00000163528	MitoCarta
ENSG00000004779	MitoCarta
ENSG00000166743	MitoCarta
ENSG00000183513	MitoCarta
ENSG00000173085	MitoCarta
ENSG00000164494	MitoCarta
ENSG00000113790	MitoCarta
ENSG00000213619	MitoCarta
ENSG00000135776	MitoCarta
ENSG00000131730	MitoCarta
ENSG00000131368	MitoCarta
ENSG00000177646	MitoCarta
ENSG00000133983	MitoCarta
ENSG00000177150	MitoCarta
ENSG00000112304	MitoCarta
ENSG00000110090	MitoCarta
ENSG00000198814	MitoCarta
ENSG00000157326	MitoCarta
ENSG00000186314	MitoCarta
ENSG00000134905	MitoCarta
ENSG00000146729	MitoCarta
ENSG00000099795	MitoCarta
ENSG00000174917	MitoCarta
ENSG00000023572	MitoCarta
ENSG00000112996	MitoCarta
ENSG00000130489	MitoCarta
ENSG00000072506	MitoCarta
ENSG00000137513	MitoCarta
ENSG00000156990	MitoCarta
ENSG00000139531	MitoCarta
ENSG00000123453	MitoCarta
ENSG00000132541	MitoCarta
ENSG00000176340	MitoCarta
ENSG00000116096	MitoCarta
ENSG00000115204	MitoCarta
ENSG00000180011	MitoCarta
ENSG00000112110	MitoCarta
ENSG00000137124	MitoCarta
ENSG00000172586	MitoCarta
ENSG00000126953	MitoCarta
ENSG00000078668	MitoCarta
ENSG00000085491	MitoCarta
ENSG00000060762	MitoCarta
ENSG00000177542	MitoCarta
ENSG00000151475	MitoCarta
ENSG00000182902	MitoCarta
ENSG00000072756	MitoCarta
ENSG00000119912	MitoCarta
ENSG00000197448	MitoCarta
ENSG00000137411	MitoCarta
ENSG00000115541	MitoCarta
ENSG00000183617	MitoCarta
ENSG00000204316	MitoCarta
ENSG00000167862	MitoCarta
ENSG00000137409	MitoCarta
ENSG00000170855	MitoCarta
ENSG00000132300	MitoCarta
ENSG00000006695	MitoCarta
ENSG00000121057	MitoCarta
ENSG00000171861	MitoCarta
ENSG00000004455	MitoCarta
ENSG00000175606	MitoCarta
ENSG00000084092	MitoCarta
ENSG00000050393	MitoCarta
ENSG00000111843	MitoCarta
ENSG00000109390	MitoCarta
ENSG00000132313	MitoCarta
ENSG00000170906	MitoCarta
ENSG00000148459	MitoCarta
ENSG00000122912	MitoCarta
ENSG00000164898	MitoCarta
ENSG00000005187	MitoCarta
ENSG00000156170	MitoCarta
ENSG00000109424	MitoCarta
ENSG00000164466	MitoCarta
ENSG00000182512	MitoCarta
ENSG00000187024	MitoCarta
ENSG00000181991	MitoCarta
ENSG00000196236	MitoCarta
ENSG00000164951	MitoCarta
ENSG00000167969	MitoCarta
ENSG00000183032	MitoCarta
ENSG00000197119	MitoCarta
ENSG00000162241	MitoCarta
ENSG00000196636	MitoCarta
ENSG00000101166	MitoCarta
ENSG00000013306	MitoCarta
ENSG00000119013	MitoCarta
ENSG00000076043	MitoCarta
ENSG00000171766	MitoCarta
ENSG00000132286	MitoCarta
ENSG00000104835	MitoCarta
ENSG00000016391	MitoCarta
ENSG00000173141	MitoCarta
ENSG00000213563	MitoCarta
ENSG00000103356	MitoCarta
ENSG00000137106	MitoCarta
ENSG00000103707	MitoCarta
ENSG00000049883	MitoCarta
ENSG00000093144	MitoCarta
ENSG00000112855	MitoCarta
ENSG00000189043	MitoCarta
ENSG00000186010	MitoCarta
ENSG00000163382	MitoCarta
ENSG00000178307	MitoCarta
ENSG00000073169	MitoCarta
ENSG00000161653	MitoCarta
ENSG00000133835	MitoCarta
ENSG00000003509	MitoCarta
ENSG00000065154	MitoCarta
ENSG00000136897	MitoCarta
ENSG00000131174	MitoCarta
ENSG00000146282	MitoCarta
ENSG00000204237	MitoCarta
ENSG00000147592	MitoCarta
ENSG00000174886	MitoCarta
ENSG00000175756	MitoCarta
ENSG00000170791	MitoCarta
ENSG00000182199	MitoCarta
ENSG00000065911	MitoCarta
ENSG00000176623	MitoCarta
ENSG00000021826	MitoCarta
ENSG00000180992	MitoCarta
ENSG00000130349	MitoCarta
ENSG00000160439	MitoCarta
ENSG00000188917	MitoCarta
