distance	id	tc	localization_cat	tc_region	hval_cat
26	cytosolic;utr3;hval_hi	0.0920928090864904	cytosolic	utr3	hval_hi
27	cytosolic;utr3;hval_hi	0.033255736614566	cytosolic	utr3	hval_hi
28	cytosolic;utr3;hval_hi	0.127906679286792	cytosolic	utr3	hval_hi
29	cytosolic;utr3;hval_hi	0.0127906679286792	cytosolic	utr3	hval_hi
30	cytosolic;utr3;hval_hi	0.0204650686858868	cytosolic	utr3	hval_hi
31	cytosolic;utr3;hval_hi	0.0460464045432454	cytosolic	utr3	hval_hi
32	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
33	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
34	cytosolic;utr3;hval_hi	0.0486045381289811	cytosolic	utr3	hval_hi
35	cytosolic;utr3;hval_hi	0.081860274743547	cytosolic	utr3	hval_hi
36	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
37	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
38	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
39	cytosolic;utr3;hval_hi	0.263487759330792	cytosolic	utr3	hval_hi
40	cytosolic;utr3;hval_hi	0	cytosolic	utr3	hval_hi
-40	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-39	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-38	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-37	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-36	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-35	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-34	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-33	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-32	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-31	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-30	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-29	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-28	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-27	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-26	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-25	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-24	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-23	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-22	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-21	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-20	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-19	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-18	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-17	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-16	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-15	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-14	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-13	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-12	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-11	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-10	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-9	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-8	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-7	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-6	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-5	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
-4	cytosolic;utr3;hval_lo	0.0153488015144151	cytosolic	utr3	hval_lo
-3	cytosolic;utr3;hval_lo	0.0793021411578112	cytosolic	utr3	hval_lo
-2	cytosolic;utr3;hval_lo	0.0613952060576604	cytosolic	utr3	hval_lo
-1	cytosolic;utr3;hval_lo	0.24046455705917	cytosolic	utr3	hval_lo
0	cytosolic;utr3;hval_lo	4.13138574096339	cytosolic	utr3	hval_lo
1	cytosolic;utr3;hval_lo	0.0383720037860377	cytosolic	utr3	hval_lo
2	cytosolic;utr3;hval_lo	0.0204650686858868	cytosolic	utr3	hval_lo
3	cytosolic;utr3;hval_lo	0.0306976030288302	cytosolic	utr3	hval_lo
4	cytosolic;utr3;hval_lo	0.0793021411578113	cytosolic	utr3	hval_lo
5	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
6	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
7	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
8	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
9	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
10	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
11	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
12	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
13	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
14	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
15	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
16	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
17	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
18	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
19	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
20	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
21	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
22	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
23	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
24	cytosolic;utr3;hval_lo	0	cytosolic	utr3	hval_lo
